,time,close,high,low,open,volume
29,2017-01-01 00:28:00,964.54,964.54,964.54,964.54,0
30,2017-01-01 00:29:00,964.91,964.92,964.91,964.54,8000
31,2017-01-01 00:30:00,964.91,964.91,964.91,964.91,0
32,2017-01-01 00:31:00,964.91,964.91,964.91,964.91,0
33,2017-01-01 00:32:00,964.92,964.92,964.92,964.91,2500
34,2017-01-01 00:33:00,964.92,964.92,964.92,964.92,0
35,2017-01-01 00:34:00,965.01,965.01,965.01,964.92,1
36,2017-01-01 00:35:00,967.38,967.38,965.57,965.01,59000
37,2017-01-01 00:36:00,965.88,965.88,965.88,967.38,1
38,2017-01-01 00:37:00,967.65,967.65,967.64,965.88,3000
39,2017-01-01 00:38:00,967.77,967.77,967.77,967.65,7000
40,2017-01-01 00:39:00,967.82,967.82,967.81,967.77,2500
41,2017-01-01 00:40:00,967.82,967.82,967.82,967.82,0
42,2017-01-01 00:41:00,967.82,967.82,967.82,967.82,0
43,2017-01-01 00:42:00,967.82,967.82,967.82,967.82,0
44,2017-01-01 00:43:00,967.82,967.82,967.82,967.82,0
45,2017-01-01 00:44:00,967.08,967.08,967.08,967.82,50
46,2017-01-01 00:45:00,967.4,967.4,967.4,967.08,50
47,2017-01-01 00:46:00,967.4,967.4,967.4,967.4,0
48,2017-01-01 00:47:00,967.4,967.4,967.4,967.4,0
49,2017-01-01 00:48:00,967.4,967.4,967.4,967.4,0
50,2017-01-01 00:49:00,967.4,967.4,967.4,967.4,0
51,2017-01-01 00:50:00,967.4,967.4,967.4,967.4,0
52,2017-01-01 00:51:00,967.4,967.4,967.4,967.4,0
53,2017-01-01 00:52:00,967.4,967.4,967.4,967.4,0
54,2017-01-01 00:53:00,967.9,967.9,967.87,967.4,7000
55,2017-01-01 00:54:00,968.08,968.08,967.9,967.9,7000
56,2017-01-01 00:55:00,968.08,968.08,968.08,968.08,0
57,2017-01-01 00:56:00,966.89,966.89,966.89,968.08,1
58,2017-01-01 00:57:00,968.0,968.0,968.0,966.89,1001
59,2017-01-01 00:58:00,967.62,967.62,967.62,968.0,1
60,2017-01-01 00:59:00,968.0,968.0,968.0,967.62,5
61,2017-01-01 01:00:00,968.0,968.0,968.0,968.0,0
62,2017-01-01 01:01:00,968.0,968.0,968.0,968.0,0
63,2017-01-01 01:02:00,968.0,968.0,968.0,968.0,0
64,2017-01-01 01:03:00,968.1,968.1,968.09,968.0,1002
65,2017-01-01 01:04:00,968.1,968.1,968.1,968.1,0
66,2017-01-01 01:05:00,968.1,968.1,968.1,968.1,0
67,2017-01-01 01:06:00,968.1,968.1,968.1,968.1,0
68,2017-01-01 01:07:00,967.62,967.62,967.62,968.1,2500
69,2017-01-01 01:08:00,967.98,967.98,967.98,967.62,1000
70,2017-01-01 01:09:00,967.62,967.96,967.62,967.98,1700
71,2017-01-01 01:10:00,967.0,967.7,967.0,967.62,27888
72,2017-01-01 01:11:00,967.0,967.0,967.0,967.0,1500
73,2017-01-01 01:12:00,967.0,967.0,967.0,967.0,0
74,2017-01-01 01:13:00,967.0,967.0,967.0,967.0,1100
75,2017-01-01 01:14:00,966.29,967.0,966.29,967.0,4988
76,2017-01-01 01:15:00,966.28,966.29,966.28,966.29,3068
77,2017-01-01 01:16:00,966.28,966.28,966.28,966.28,0
78,2017-01-01 01:17:00,966.28,966.28,966.28,966.28,0
79,2017-01-01 01:18:00,966.28,966.28,966.28,966.28,0
80,2017-01-01 01:19:00,966.28,966.28,966.28,966.28,0
81,2017-01-01 01:20:00,966.28,966.28,966.28,966.28,0
82,2017-01-01 01:21:00,966.28,966.28,966.28,966.28,0
83,2017-01-01 01:22:00,966.0,966.29,966.0,966.28,5000
84,2017-01-01 01:23:00,965.0,966.65,965.0,966.0,11271
85,2017-01-01 01:24:00,965.0,966.66,965.0,965.0,14200
86,2017-01-01 01:25:00,964.09,965.01,964.09,965.0,76593
87,2017-01-01 01:26:00,964.0,964.0,964.0,964.09,1120
88,2017-01-01 01:27:00,964.0,964.0,964.0,964.0,60
89,2017-01-01 01:28:00,964.0,964.0,964.0,964.0,111
90,2017-01-01 01:29:00,964.0,964.0,964.0,964.0,0
91,2017-01-01 01:30:00,964.76,964.76,964.76,964.0,500
92,2017-01-01 01:31:00,964.76,964.76,964.76,964.76,0
93,2017-01-01 01:32:00,964.76,964.76,964.76,964.76,0
94,2017-01-01 01:33:00,964.76,964.76,964.76,964.76,0
95,2017-01-01 01:34:00,964.76,964.76,964.76,964.76,0
96,2017-01-01 01:35:00,964.76,964.76,964.76,964.76,0
97,2017-01-01 01:36:00,964.76,964.76,964.76,964.76,0
98,2017-01-01 01:37:00,964.85,967.48,964.69,964.76,107021
99,2017-01-01 01:38:00,966.25,966.25,964.85,964.85,529
